Date,Time_started_(24:00),Average_biking_speed_(mph),Late_(< 5 mins),Wind_(mph),Traffic,Destination,Path,Music
2025-04-23,10:59,13.5,yes,2,low,IV Theater 2,bike path,slow
2025-04-23,12:14,13.3,no,2,moderate,Phelps,bike path,fast
2025-04-24,12:24,10.6,no,12,low,ILP,bike path,fast
2025-04-30,13:13,10.1,no,3,low,South Hall,bike path,fast
2025-04-30,16:56,10.3,no,6,low,Trop,road,slow
2025-05-01,17:01,10.5,no,5,low,Home,bike path,fast
2025-05-02,14:51,10.8,no,4,low,Ucen,bike path,slow
2025-05-04,19:07,9.8,no,10,moderate,Nido,road,slow
2025-05-06,12:28,10.9,yes,5,low,ILP,bike path,fast
2025-05-06,19:07,11.9,no,5,low,Home,bike path,fast
2025-05-07,12:43,12.2,yes,10,low,Phelps,bike path,slow
2025-05-08,12:29,11.1,yes,7,low,ILP,bike path,slow
2025-05-08,20:11,11.3,no,5,low,Home,bike path,fast
2025-05-09,10:13,11.5,yes,3,low,Phelps,bike path,slow
2025-05-12,10:53,9.6,no,21,moderate,IV Theater 2,bike path,slow
2025-05-13,15:40,9.8,no,26,low,Home,bike path,fast
2025-05-14,13:22,10.9,no,9,low,Home,bike path,slow
2025-05-14,16:50,10.4,no,9,low,HSSB,bike path,slow
2025-05-15,12:29,10.9,yes,4,low,ILP,bike path,fast
2025-05-18,14:17,9.6,no,15,low,ILP,bike path/road,fast
2025-05-19,10:55,10.6,yes,8,low,IV Theater 2,bike path,slow
2025-05-20,12:27,11.5,yes,7,low,ILP,bike path,fast
2025-05-20,16:01,12.3,no,8,moderate,IV Market,bike path/road,fast
2025-05-20,16:12,10.6,no,8,moderate,Home,road,fast
2025-05-21,11:16,10.2,yes,7,low,IV Theater 2,bike path,fast
2025-05-21,18:59,12.2,no,5,low,Home,bike path,fast
2025-05-22,9:21,10.4,no,9,moderate,Home,bike path,slow
2025-05-22,12:21,8.2,no,9,moderate,ILP,bike path,fast
2025-05-22,22:23,22,no,3,low,Home,bike path,fast
2025-05-23,15:47,10.9,no,7,low,ILP,bike path,fast
